,year,sents
96,1980-81,"At the same time, it is necessary to minimise the growth of imports 5 through a much more energetic policy for augmenting domestic production in areas like edible oils, steel, cement, fertilizers, oil and oil products."
97,1980-81,Government also intends to pursue policies which will encourage savings and investment in the economy.
98,1980-81,"Since 1971, a convertibility clause is being inserted in agreements governing financial assistance to industrial units by public financial institutions."
99,1980-81,It has been repeatedly represented by industry that the rigours of the convertibility clause are inhibiting investment.
100,1980-81,Government has carefully considered the matter and has decided that the policy guidelines for convertibility clause be modified on the following lines: a The mandatory insertion of convertibility clause will in future apply to financial assistance exceeding Rs 1 crore instead of Rs 50 lakhs prescribed at present.
101,1980-81,The financial institutions should hereafter exercise the conversion option in such a way that they do not acquire more than 40 per cent of the share capital of an existing concern.
102,1980-81,"However, in case of persistent default in repayment of loans or mismanagement of an assisted company or continuous closure of an industrial unit of a company producing goods and services essential to the community, the financial institutions might, with the concurrence of Government, exercise their conversion option in such a way that their shareholding can go up to 51 per cent or above."
103,1980-81,"Under the existing soft loan scheme for modernisation of jute, cotton textiles, cement, sugar and certain engineering industries, no convertibility clause is being inserted at present."
104,1980-81,This exemption is being extended to assistance for modernisation in any industry and for rehabilitation of sick units.
105,1980-81,Government hopes these policy changes would remove the present inhibitions and encourage fresh investment in and modernisation of industry.
106,1980-81,THE PLAN AND BUDGET ESTIMATES FOR 198081 28.
107,1980-81,In our preoccupation with the immediate problems of economic management we should not lose sight of the need to build up the growth potential of the economy over the medium term.
108,1980-81,"If we do not do so, the shortterm difficulties will only grow further."
109,1980-81,The reconstituted Planning Commission will present the new programmes and priorities when the Plan is formulated by the end of this year.
110,1980-81,But meanwhile a Plan for the year 198081 has been formulated which will be dovetailed into the Sixth Plan later.
111,1980-81,The broad objective of the Plan would be to achieve a higher growth rate of 5 per cent per annum.
112,1980-81,The annual Plan for 198081 seeks to revive and restore the health of the economy and accelerate the pace of growth and employment generation.
113,1980-81,"Though the priorities laid down by the earlier Government are not acceptable to us, we have recognised that ongoing projects should be fully provided for."
114,1980-81,"Within the room for manoeuvrability permitted by this consideration, we have effected changes in plan 6 provisions or provided for new programmes so as to give a reorientation to the Plan in the desired direction."
115,1980-81,The new Planning Commission has made a quick review of Plan programmes and priorities.
116,1980-81,"I am glad to announce that in the light of this review the annual Plan outlay for 198081 of the Centre is being raised to Rs 7,340 crores, an increase of Rs 767 crores over the outlay in the interim Budget; compared with last year’s original outlay it is higher by 14.5 per cent."
117,1980-81,"It will be financed by a budgetary provision of Rs 5,322 crores and internal and other resources of public sector undertakings of Rs 2,018 crores."
118,1980-81,"A provision of Rs 3,094 crores has been made for Central assistance to the outlay on States’ Plans, Union territories’ Plans and subplans of hills and tribal areas, special component plans for the scheduled castes, schemes of the North Eastern Council, Rural Electrification Corporation and natural calamities."
119,1980-81,"Inclusive of their own resources their Plan outlay will be Rs 7,253 crores as against an outlay of Rs 6,099 crores in 197980."
120,1980-81,"Altogether the total Plan outlay of the Centre, States, Union territories, schemes of North Eastern Council, etc., would amount to Rs 14,593 crores in 198081 as compared with Rs 12,511 crores in 197980  a step up of 16.8 per cent."
121,1980-81,It is this Government’s firm belief that economic growth could be accelerated and its fruits widely shared only if employment opportunities in rural areas are significantly augmented.
122,1980-81,Development will have no meaning to the vast majority of our people if the poor in the rural areas are not able to secure a livelihood through satisfactory productive work.
123,1980-81,"As an integral part of the new Plan, we have therefore, decided to launch a massive National Rural Employment Programme based on a strategy which will seek to blend opportunities for selfhelp and optimum utilisation of available local resources."
124,1980-81,Such a programme will go a long way towards revitalising the rural economy and developing the infrastructure facilities so essential to the life of the community.
125,1980-81,The Food for Work Programme initiated by us in 1977 has an important part to play in this regard.
126,1980-81,But in the last two years this programme has displayed certain cardinal weaknesses.
127,1980-81,"In many cases, no attempts have been made to develop an inventory of projects which will meet not only the local needs but also fit in with the overall national priorities."
128,1980-81,There was also no firm indication of annual allocation of foodgrains.
129,1980-81,The programme thus in effect continued on an ad hoc basis.
130,1980-81,No arrangements were also made for financing the cash component of the works programme undertaken by the State Governments with the help of foodgrains allocated to them.
131,1980-81,The result was that they could not undertake works which could have led to the creation of durable assets and the building up of productive potential of the areas concerned.
132,1980-81,"In the new National Rural Employment Programme, States will receive assistance not only in the form of foodgrains but also cash assistance so as to enable 7 them to undertake truly productive works of lasting benefit."
133,1980-81,The Budget estimates which have been presented to the House provide Rs 340 crores in 198081 for this programme.
134,1980-81,"It is estimated that the programme, if properly implemented, could generate 850 to 900 million man days of additional employment."
135,1980-81,"Some part of the provision for this scheme would be specifically earmarked for’ high priority programmes like social forestry, fuel plantation, rural community housing and water supply and nutrition."
136,1980-81,Rs 10 crores have been provided for the Food for Nutrition Programme.
137,1980-81,The process of economic growth will be incomplete unless the benefits of such growth reach the weakest sections of society.
138,1980-81,"Therefore, the improvement of the socioeconomic conditions of the scheduled castes should be a major element of our strategy of development."
139,1980-81,Comprehensive special component plans for the scheduled castes will have to be drawn up with the objective of earmarking outlays in all relevant sectors in proportion to the scheduled caste population in each State.
140,1980-81,Such outlays are to be utilised for helping the scheduled caste families to acquire income generating assets and relevant skills for the betterment of their living conditions.
141,1980-81,The Budget breaks new ground by providing for a special central assistance of Rs 100 crores to the States to act as a catalyst in the generation of more funds from other sources including financial institutions.
142,1980-81,This will enable the authorities to provide as a package all the inputs needed in an integrated programme of promotion of the socioeconomic condition of scheduled castes.
143,1980-81,A provision for Central assistance of Rs 70 crores has been made for the development of tribal people and areas under the Tribal subplan.
144,1980-81,"Additional pockets with a population of 10,000 and having at least 50 per cent tribal concentration will be identified, thus bringing nearly 75 per cent of the tribal population in eighteen States and Union territories within the Tribal subplan."
145,1980-81,"Greater emphasis will, be laid on selected programmes which can benefit the tribal families."
146,1980-81,A provision of about Rs 50 crores has been made in the annual Plan for 1980 81 for providing house sites for the landless and weaker sections as part of the 20Point Economic Programme.
147,1980-81,The Rural HousingcumHut Construction Scheme for landless workers being operated under the revised Minimum Needs Programme provides not only house sites but also assistance for the construction of huts.
148,1980-81,This provision will be supplemented under the National Rural Employment Programme which will cover community housing projects in rural areas.
149,1980-81,Nearly 8 lakh landless families are expected to benefit under this scheme.
150,1980-81,"Since India lives in its villages and nearly 70 per cent of its population derives its livelihood from agriculture, the prosperity of the country depends upon the modernisation of agriculture."
151,1980-81,The year 1979~80 is a grim reminder of the importance of the performance of agriculture to the development of the Indian economy.
152,1980-81,"The Plan outlay on agriculture and rural development in the current year is being increased to Rs 2,247 crores from Rs 1,811 crores in 1979 80."
153,1980-81,"This includes the provision in the 8 Central Plan of Rs 158 crores for Small Farmers Development Agency, Drought Prone Areas Programme, integrated Rural Development Programme, etc. ;"
154,1980-81,"Rs 32 crores for better exploitation of inland and marine fish potential; Rs 54 crores for Operation Flood II Project; Rs 59 crores for schemes of agricultural research and education oriented towards improving agricultural productivity through better seeds, better agronomic practices, better water management and better use of fertilizers and other essential inputs; and Rs 10 crores to increase the production of oilseeds to reach a target of 12 million tonnes."
155,1980-81,The current levels of international prices of oil and oil products have highlighted the importance of other fuels.
156,1980-81,Forests can play an important part in providing one such fuel.
157,1980-81,"AS forests in India have suffered fast destruction by people in their search for fuel, it is essential that people’s participation in the development of forests is secured on an urgent basis."
158,1980-81,Social forestry in villages will besides meeting the energy requirements of the people also provide additional employment.
159,1980-81,The raising of fuel and fodder is proposed to be made a part of Minimum Needs Programme and it will receive high priority in the National Rural Employment Programme.
160,1980-81,We have to press on with the task of increasing the area under Irrigation to avoid fluctuations in production and to increase productivity.
161,1980-81,"Therefore, the outlay on major and medium irrigation projects including flood control for 1980 81 is being stepped up to Rs 1380 crores from Rs 1258 crores last year."
162,1980-81,The minor irrigation programme would continue to receive special attention and an outlay of Rs 266 crores has been made for this purpose.
163,1980-81,This provision will be supplemented by large financial support from the Agricultural Refinance and Development Corporation.
164,1980-81,The additional irrigation potential resulting from all this expenditure is expected to be 2.5 million hectares.
165,1980-81,Clean and safe drinking water is essential for improvement of the quality of life in rural areas.
166,1980-81,The Central Plan for 1980 81 provides an outlay of Rs 100 crores as against Rs 80 crores in 1979 80.
167,1980-81,"Inclusive of the provisions in the States’ Plans, a total sum of Rs 294 crores will be available for this vital programme."
168,1980-81,"It is expected that by the end of the current year, 35,000 additional villages identified as problem villages will be having protected water supply arrangements."
169,1980-81,A part of the outlay has been earmarked for rigs to be supplied to States for boring wells in drought affected areas.
170,1980-81,An additional sum of about Rs 40 crores has been allocated in the current year to the drought affected States to take up new water supply schemes and complete those already in hand.
171,1980-81,"The khadi, village and small scale industries sector has the highest employment potential next to agriculture."
172,1980-81,The outlay on this sector in the current year will be Rs 150 crores and additional production during the year is estimated at Rs 146 crores.
173,1980-81,The House will recall that the 20Point Economic Programme has particularly emphasised the development of the handloom sector in this context.
174,1980-81,"In 9 pursuance of this objective, we propose to set up a national level Handloom Development Corporation for providing a package of marketing and developmental assistance for the handloom industry."
175,1980-81,"Provision has also been made for establishing an institute of Handloom Technology in the NorthEastern region, which is well known for its exquisite handloom products."
176,1980-81,"The provision for the power sector has been raised by over 11 per cent i.e., from 11p.2466 crores in 197980 to Rs 2745 crores."
177,1980-81,The work on the four Super thermal power stations in the different regions of the country is being accelerated.
178,1980-81,Total outlay oil the rural electrification programme will be Rs 285 crores in 1980 81.
179,1980-81,"The target in 1980 81 is the energisation of 4 lakh pumpsets and the electrification of 25,000 villages."
180,1980-81,"Similarly, an outlay of Rs 473 crores is being provided in 198081 as against Rs 364 crores last year for improving the production of coal including lignite."
181,1980-81,This includes a provision of Rs 92 crores for the Neyveli Lignite Corporation.
182,1980-81,The bulk of this allocation is for the second mine project which will produce 4.5 million tonnes per annum and the second thermal power station with a generating capacity of 630 MW.
183,1980-81,A production target of 113.5 million tonnes has been set for coal for the current year as against the actual production of 106 million tonnes in 197980.
184,1980-81,In view of the impact on the balance of payments of the rising prices of oil there can be no two opinions about the urgency of developing our own oil resources.
185,1980-81,"The Plan outlay for the petroleum sector for 198081 is Rs 837 crores, Rs 215 crores more than the outlay last year."
186,1980-81,The Budget provides only Rs 99 crores out of this.
187,1980-81,This outlay is for the completion of facilities for Phase III development of Bombay High and advance action in.
188,1980-81,It also includes the expenditure required for the development of the South Bassein Gas field and the gas pipeline to the new fertilizer projects.
189,1980-81,Onshore exploratory drilling in the eastern region is to be intensified in view of the region’s higher potential for hydro carbon discoveries.
190,1980-81,The Central Plan outlay m chemicals and fertilizers is being raised to Rs 319 crores in 198081 to provide adequately for new gasbased fertilizer plants in Maharashtra and Assam.
191,1980-81,"In addition, a provision of Rs 20 crores has been made for fertilizer projects in the cooperative sector."
192,1980-81,The Central Plan also provides in the current year an outlay of Rs 803 crores for the steel sector as against Rs 600 crores last year.
193,1980-81,The outlay includes a provision of Rs 200 crores for raising the capacity of the Bokaro Steel Plant to four million tonnes per annum and an outlay of Rs 190 crores for the Bhilai Steel Plant for a similar expansion.
194,1980-81,Work on the Salem Project will proceed at the required pace with an outlay of Rs 57 crores.
195,1980-81,A substantial beginning will be made on the new Visakhapatnam Steel Plant with a provision of Rs 70 crores.
196,1980-81,The target of saleable 10 steel in the current year has been fixed at 8.76 million tonnes as against the anticipated production of 7.22 million tonnes in 197980.
197,1980-81,An outlay of Rs 130 crores is being made in 1980 81 for the mines sector.
198,1980-81,"This includes a provision of Rs 10 crores for the new east coast aluminium project, Rs 28 crores for the Malanjkhand Copper Project and Rs 19 crores for the intensification of the activities of the Geological Survey of India and the Mineral Exploration Corporation."
199,1980-81,A provision of Rs 64 crores has been made for BHEL for its continuing schemes and for the production of large size turbo generators at Hardwar and the expansion of boiler manufacturing capacity at Tiruchy. 49.
200,1980-81,"Since port congestion also has figured prominently as a constraint till recently, a provision of Rs 102 crores is being made in 198081 for developing major and minor ports."
201,1980-81,"However, only a sum of Rs 60 crores has been provided in the Budget as the rest of the expenditure is being met from internal resources of the Port Trusts."
202,1980-81,"Bombay, Madras and Cochin are being equipped to handle the anticipated increase in container traffic."
203,1980-81,A beginning has been made on the integrated development of Cochin Port.
204,1980-81,The Plan outlay for 1980 81 for the Posts & Telegraphs Department is Rs 415 crores.
205,1980-81,It is proposed to provide additional 1.75 lakh lines switching capacity and 1.7 lakh direct exchange lines and other facilities.
206,1980-81,"The number of post offices in rural, backward and hilly areas is also proposed to be increased."
207,1980-81,The norms for providing telegraph and telephone facilities in tribal areas have been further liberalised to cover areas having a population of 2500 in a group of villages within a radius of 10 kms.
208,1980-81,Provision has also been made for the expansion of manufacturing capacity for switching equipment.
209,1980-81,Family Planning programme suffered a serious set back in the past three years.
210,1980-81,"A revitalisation of this programme must constitute an important element of the new Five Year Plan, if an improvement of the living conditions of our people is our goal."
211,1980-81,A provision of Rs 250 crores is being made in 198081 for health and family welfare.
212,1980-81,"Of this, Rs 140 crores will be for family welfare."
213,1980-81,The emphasis in the family welfare programme will be on educating the people about the desirability of a small family and providing the necessary technical services on an adequate scale.
214,1980-81,"An attempt will also be made to provide improved health services in rural areas, eradicate communicable diseases and provide health education."
215,1980-81,The development problems of a poor society of 650 million people are bound to be stupendous.
216,1980-81,"For a solution of these, within a reasonable time, it will be necessary to harness the forces of science and technology."
217,1980-81,India is favourably placed with regard to the development of science and technology in that she has a large pool of scientific and technical manpower and a vast institutional infrastructure developed 11 over the last thirty years.
218,1980-81,"While our scientific institutions can help to advance the frontiers of knowledge, it is science based technology which can help to raise production and productivity."
219,1980-81,"Therefore, an outlay of Rs 116 crores has been provided in the Central Plan for 198081 for science and technology."
220,1980-81,I will now make a brief mention of a few changes in the nonPlan expenditure.
221,1980-81,"The provision for Defence expenditure is Rs 3600 crores, Rs 300 crores more than the provision made in the interim Budget."
222,1980-81,"The provision for export subsidy has been increased from Rs 330 crores to Rs 355 crores, in view of the need for a larger export effort."
223,1980-81,"Loans to State Governments, as their share of small savings collections, are being stepped up from Rs 650 crores in the interim Budget to Rs 715 crores, in view of the anticipated improvement in these collections."
224,1980-81,Short term loans to State Governments for agricultural inputs are also being increased by Rs 50 crores.
225,1980-81,"Besides, additional provision has also become necessary to meet unavoidable commitments like additional dearness allowance to Central Government employees, purchase of heavy water for atomic power plants, etc."
226,1980-81,"However, the above increases in nonPlan expenditure will be partially offset by reduction in fertilizer subsidy."
227,1980-81,The Constitution envisages provision of free legal aid by Government in order to ensure that an opportunity for securing justice is not denied to any citizen because of economic or other disabilities.
228,1980-81,"The concept of legal aid has also been dealt with by a Committee on Juridicare headed by Justice P.N. Bhagwati, whose Report dated 31st August, 1977 has been laid before Parliament."
229,1980-81,Several States have been attempting legal aid programmes.
230,1980-81,It is proposed to coordinate these schemes and also initiate suitable schemes at the Centre after an examination of the various aspects.
231,1980-81,A committee for guiding the legal aid schemes and implementing the same is being constituted with a Supreme Court Judge as its Chairman.
232,1980-81,The Budget for 198081 makes a provision for this purpose.
233,1980-81,"Taking into account the effect of the above and some other changes, the total nonPlan expenditure is now estimated at Rs 13,051 crores as against Rs 12,822 crores in the interim Budget."
234,1980-81,"As regards receipts in the current year, at existing levels of taxation Corporation tax is estimated to yield Rs 11 crores more than what was reflected in the interim Budget; this improvement is mainly based on the actual trends of collection in 197980."
235,1980-81,"On the basis of latest available data on estimated levels of imports and production during the current year, Customs duties and Union Excise duties are also expected to yield Rs 40 crores and Rs 108 crores respectively more than anticipated in the interim Budget."
236,1980-81,"However, these increases will be more or less offset by the recent decision of Government to withdraw customs and excise duties on fertilizers."
237,1980-81,"Taking into account States’ share of taxes, net tax revenue at existing rates of taxation is estimated at Rs 8723 crores as against Rs 8725 crores in the interim Budget."
238,1980-81,"On the basis of the latest indications available, external assistance, net of repayments, in 198081 is estimated at Rs 1252 crores showing an increase of Rs 56 crores over the figures included in the interim Budget."
239,1980-81,In addition we expect to avail of a loan of Rs 540 crores from the Trust Fund of the International Monetary Fund in 198081 and the Budget assumes credit for this.
240,1980-81,There is a welcome increase in small savings collections.
241,1980-81,The estimate for 198081 is now placed at Rs 1100 crores as against Rs 1000 crores in the interim Budget.
242,1980-81,"Of the increase of Rs 100 crores, Rs 65 crores will accrue to the States as their share."
243,1980-81,"It has been decided that a part of the investible resources of Life Insurance Corporation, General Insurance Corporation, and Unit Trust of India should be lodged with Government in Special deposit accounts to augment resources for financing the Plan."
244,1980-81,Budget for 198081 takes a credit of Rs 100 crores on account of these deposits.
245,1980-81,"When we are seeking to step up investment in public sector, it is necessary to adopt an innovative approach to the problem of mobilising resources for sustaining such investment."
246,1980-81,"As Honourable Members know, private sector companies raise resources in the form of deposits from the public."
247,1980-81,Government feels that there is no reason why public sector companies with competent professional management should not do so.
248,1980-81,"Accordingly, we have decided to allow selected public sector units to raise public deposits on the same lines as the companies in the private sector."
249,1980-81,"When this scheme makes headway, dependence of these public sector enterprises on budgetary support will get reduced."
250,1980-81,But I have refrained from taking credit for such relief at this stage.
251,1980-81,"Taking into account other variations and also the effect of the changes in the fare and freight rates of Railways and of changes in Posts and Telegraphs tariff, to which I will refer a little later, the total receipts in 1980 81 are estimated at Rs 19,827 crores as against Rs 18,980 crores in the interim Budget."
252,1980-81,"Total expenditure is estimated at Rs 21,467 crores."
253,1980-81,The deficit at existing rates of taxes will thus be Rs 1640 crores.
254,1980-81,I now turn to my proposals in the field of direct taxes.
255,1980-81,"In framing these proposals, I have borne in mind certain broad considerations, namely, that the rate of direct taxes should be such as to promote voluntary compliance; that the farmers, workers and the middle class should be afforded some relief in pursuance of the commitment in our Party’s manifesto and some stimulus should be provided for raising the level of savings and investment in the national economy."
256,1980-81,"At the same time, a concerted attempt should be made to counter certain widely prevalent devices for tax avoidance through fragmentation of income and wealth."
257,1980-81,The middle class is among the worst hit by the rise in prices in recent years.
258,1980-81,"As Hon’ble Members are aware, even skilled workers in the organised sector 13 are now liable to incometax, at the present level of exemption."
